abandon   v.抛弃，放弃=1
abandonment   n.放弃=1
abbreviation   n.缩写=2
abeyance   n.缓办，中止=0
abide   v.遵守=0
ability   n.能力=0
able   adj.有能力的，能干的=0
abnormal   adj.反常的，变态的=0
aboard   adv.船(车)上=0
abolish   v.废除，取消=0
abolition   n.废除，取消=0
abortion   n.流产=0
abortive   adj.无效果的，失败的=0
about   prep.关于，大约=0
above   prep.在...之上，高于=0
above-mentioned   adj.上述的=0
abreast   adv.并肩，并列=0
abridge   v.省略，摘要=0
abroad   adv.国外，海外=0
abrogate   v.取消，废除=0
abrogation   n.取消，废除=0
abrupt   adj.突然的，生硬的=0
abruptly   adv.突然地=0
absence   n.缺席，缺乏=0
absent   adj.缺席的，不存在=0
absent-minded   adj.心不在焉的=0
absolute   adj.完全的，绝对的=0
absolutely   adv.绝对，完全=0
absorb   v.吸收，专心于=0
absorption   n.吸收，专注=0
abstract   adj.抽象的，难懂的=0
abstraction   n.抽象，提取=0
absurd   adj.荒唐的=0
absurdity   n.荒唐(事)=0
abundance   n.丰富，大量=0
abundant   adj.丰富的，充裕的=0
abuse   v.滥用，谩骂=0
abasement   n.滥用=0
academic   adj.学院的，学术的=0
academy   n.学院，研究院=0
accede   v.同意=0
accelerate   v.加速，加快=0
acceleration   v.加速，促进=0
accent   n.腔调 v.重读=0
accept   v.接受，同意=0
acceptable   adj.可接受的，合意的=0
acceptance   n.接受，承兑=0
access   n.接近，入口=0
accessible   adj.可接近的=0
accessory   n.附件，装饰品=0
accident   n.事故，意外之事=0
accidental   adj.意外的，偶然的=0
accidentally   adv.偶尔，附带=0
accommodate   v.提供便利，拆借=0
accommodation   n.便利，通融=0
accompaniment   n.伴侣，伴奏=0
accompany   v.伴随，伴奏=0
accomplish   v.完成，达到=0
accomplishment   n.成就=0
accord   v.符合，协调=0
accordance   n.按照，与...一致=0
according   adj.按照，据...说=0
accordingly   adj.相应地，从而=0
account   n.账目 v.说明=0
accountant   n.会计(师)=0
accounting   n.会计学=0
accrue   v.产生，发生=0
accrued   adj.增值的，应计的=0
accumulate   v.积累，积蓄=0
accumulation   n.积累=0
accumulative   adj.积累的=0
accuracy   n.准确(性)=0
accurate   adj.准确的，精密的=0
accurately   adj.准确地=0
accusation   n.控告=0
accuse   v.告发，指责=0
accustom   v.使...习惯于=0
ache   v.觉得疼 n.疼痛=0
aching   adj.疼痛的=0
achieve   v.完成，实现=0
achievement   n.完成，成就=0
acid   n.酸=0
acknowledge   v.承认，鸣谢=0
acknowledgment   n.承认，鸣谢，回执=0
acquaint   n.使熟悉，相识=0
acquaintance   n.熟悉人，相识=0
acquaintant   adj.熟悉的=0
acquire   v.求得，获得=0
acquisition   n.获得=0
acre   n.英亩=0
acrobat   n.杂技演员=0
acrobatics   n.杂技=0
across   prep.横越 adv.横穿=0
act   n.行为，法令 v.表演=0
action   n.行为，行动=0
activate   v.使活跃，开动=0
active   adj.活跃的，积极的=0
actively   adv.积极地，活跃地=0
activity   n.活动=0
actor   n.男演员=0
actress   n.女演员=0
actual   adj.现实的，实际的=0
actuality   n.实际=0
actually   adv.实际上，居然=0
acute   adj.剧烈的，敏锐的=0
a.d.   (缩)公元=0
ad   n.(缩)广告=0
adapt   v.使适应，改编=0
adaptation   n.适应=0
add   v.增添，加，补充=0
addition   n.增加，附加物=0
additional   adj.增加的，附加的=0
additive   adj.附加的 n.添加剂=0
address   n.地址 v.致词=0
adequate   adj.足够的，恰当的=0
adequately   adv.恰当地=0
adhere   v.粘附，坚持=0
adhesive   n.粘合剂=0
adjacent   adj.邻近的=0
adjective   n.形容词=0
adjoin   v.毗连=0
adjust   v.调整，修整=0
adjustable   adj.可调整的=0
adjustment   n.调整=0
administer   v.管理=0
administration   n.行政管理，管理机关=0
administrative   adj.行政管理的=0
admirable   adj.可钦佩的=0
admiration   n.羡慕，钦佩=0
admire   v.钦佩，赞美=0
admission   n.准入，承认=0
admit   v.承认，接纳=0
admittedly   adv.明白地=0
adolescence   n.青春期=0
adolescent   adj.青春期的=0
adopt   v.采用，采纳=0
adoption   n.采用=0
adore   v.崇拜，敬慕=0
adorn   v.装饰，佩带=0
adornment   n.装饰(品)=0
adult   n.成年人 adj.成年的=0
advance   n.,v.前进=0
advanced   adj.先进的，发达的=0
advantage   n.优点，优势=0
advantageous   adj.有利的，有用的=0
adventure   n.冒险，惊险活动=0
adventurous   adj.冒险的=0
adverb   n.副词=0
adverbial   adj.副词的=0
adversary   adj.敌手，对手=0
adverse   v.逆的，相反的=0
adversity   n.逆境，不幸=0
advertise   v.登广告，推销=0
advertising   adj.广告的=0
advertisement   n.广告=0
advice   n.忠告，意见=0
advisable   adj.适当的，可行的=0
advise   v.劝告，通知=0
adviser   n.顾问=0
advocate   v.拥护，提倡=0
aerial   adj.天空的，航空的=0
aeroplane   n.飞机=0
affair   n.事件，事情=0
affect   v.影响，改变=0
affection   n.友爱，爱慕=0
affectionate   adj.充满感情的=0
affiliate   n.分号(公司)=0
affirm   v.断言，肯定=0
affirmation   n.确定，确认=0
affirmative   adj.肯定的=0
afford   v.买得起，经受得起=0
affordable   adj.买得起的=0
afloat   adj.航行中的=0
aforesaid   adj.上述的=0
afraid   adj.害怕的，恐怕=0
africa   n.非洲=0
african   adj.非洲的 n.非洲人=0
after   prep.在...后=0
afternoon   n.下午=0
afterward   adv.后来=0
again   adv.再，又=0
against   prep.反对，对着=0
age   n.年龄，时代=0
agency   n.代理，代理处=0
agent   n.代理人，试剂=0
aggravate   v.加重，恶化=0
aggravation   n.加重，恶化=0
aggregate   v.,n.,adj.合计(的)=0
aggregation   n.总计，集合=0
aggression   n.侵略=0
aggressive   adj.侵略的，进取的=0
aggressor   n.侵略者=0
agitate   v.鼓动=0
agitation   n.鼓动，不安=0
ago   adv....以前=0
agonize   v.使痛苦=0
agony   n.苦恼，痛苦=0
agree   v.同意，一致认为=0
agreeable   adj.惬意的，易相处的=0
agreeably   adv.欣然，依照=0
agreed   adj.商定的=0
agreement   n.一致，协议=0
agricultural   adj.农业的=0
agriculture   n.农业=0
ahead   adv.在...前=0
aid   n.,v.援助，救护=0
aids   n.(缩)艾滋病=0
ailment   n.疾病=0
aim   n.目的 v.旨在，指向=0
aimless   adj.无目的的=0
air   n.空气，气派=0
aircraft   n.航空器=0
airline   n.航线，航空公司=0
airliner   n.定期航班=0
airmail   n.航空邮件=0
airplane   n.飞机=0
airport   n.机场=0
airway   n.航线=0
aisle   n.过道，走廊=0
ajar   adv.半开的=0
alarm   n.惊慌，警报=0
alarming   adj.警告的=0
alas   int.唉，哎呀=0
album   n.相册，地图册=0
alcohol   n.酒精=0
alcoholic   adj.含酒精的=0
alcoholism   n.嗜酒者，酒鬼=0
ale   n.淡啤酒=0
alert   adj.警惕的，灵活的=0
algebra   n.代数=0
alien   adj.异国的，异样的=0
alienate   v.疏远，转让，挪用=0
alienation   n.异化=0
alignment   n.对准，准线=0
alike   adj.相象的=0
alive   adj.活着的，有生命的=0
all   adj.所有的 n.一切=0
allergic   adj.过敏的，变态的=0
allergy   n.反感，过敏=0
alliance   n.联合，同盟=0
allied   adj.同盟的=0
allocate   v.分配=0
allocation   n.分配=0
allot   v.分配，配给=0
allotment   n.分配，份额=0
allow   v.允许，许可=0
allowance   n.补助，津贴=0
alloy   n.合金=0
ally   n.同盟者 v.结盟=0
almost   adv.几乎，差不多=0
alone   adj.单独的，仅仅=0
along   prep.沿着 adv.一起=0
alongside   prep.在...旁边=0
aloud   adv.大声地=0
alphabet   n.字母表=0
also   adv.也=0
alter   v.改变，变动=0
alternate   v.轮流，交替=0
alternation   n.改变，变更=0
alternative   n.,v.两者取一=0
although   conj.虽然=0
altitude   n.高度=0
altogether   adv.全部地，总共=0
aluminum   n.铝=0
always   adv.总是，始终=0
a.m.   (缩)上午=0
amateur   adj.业余的=0
amaze   v.使惊叹=0
amazement   n.惊奇，诧异=0
ambassador   n.大使=0
ambient   adj.周围的，包围着的=0
ambiguity   n.歧义性，意义不明处=0
ambiguous   adj.模棱两可的=0
ambition   n.抱负，野心=0
ambitious   adj.雄心勃勃的=0
ambulance   n.救护车=0
amend   v.修改，更正=0
amendment   n.修改(通知书)=0
amends   n.赔偿=0
america   n.美国，美洲=0
american   adj.美国的 n.美国人=0
amiable   adj.和蔼的，亲切的=0
amicable   adj.友好的，和睦的=0
amid   prep.在...之间=0
ammunition   n.弹药=0
among   prep.在...之中=0
amount   n.数量，总数 v.合计=0
ampere   n.【电】安培=0
ample   adj.宽大的，充裕的=0
amplification   n.放大=0
amplifier   n.放大器，扩音机=0
amplify   v.详述，放大=0
amuse   v.逗乐，给娱乐=0
amusement   n.娱乐，乐趣=0
analogue   n.模拟，类似物=0
analogy   n.类似，类推=0
analysis   n.分析，分解=0
analytical   adj.分析的，解析的=0
analyze   v.分析，分解=0
ancestor   n.祖先，祖宗=0
anchor   n.锚 v.停泊=0
ancient   adj.古老的，古代的=0
and   conj.和，与，而=0
anecdote   n.轶事，轶闻=0
angel   n.天命，安琪儿=0
anger   n.生气，愤怒=0
angle   n.角，角度=0
angry   adj.生气的，愤怒的=0
angular   adj.角状的=0
animal   n.动物=0
animate   v.使有活力，激活=0
animation   n.生气，生机=0
ankle   n.踝，踝骨=0
annex   n.附录，附件=0
anniversary   n.周年纪念日=0
announce   v.宣布，通报=0
announcement   n.通知=0
announcer   n.播音员=0
annoy   v.烦扰，使生气=0
annoyance   n.烦恼，麻烦事=0
annual   adj.每年的，年度的=0
annually   adv.每年，年年=0
another   pron.,prep.另一个=0
answer   n.答案 v.答复=0
ant   n.蚂蚁=0
antagonism   n.对立，敌对=0
antagonist   n.对手，敌手=0
antarctic   adj.南极的=0
antibiotic   adj.抗菌的=0
antecedent   n.触角，天线=0
anticipate   v.期望，预料=0
anticipation   n.期望，预料=0
antique   adj.古老的 n.古玩=0
antonym   n.反义词=0
antonymous   adj.反义的=0
anxiety   n.焦虑，担心=0
anxious   adj.焦急的，切盼的=0
anxiously   adv.焦急地，急切地=0
any   adj.任何，一些=0
anybody   pron.任何人=0
anyhow   adv.无论如何=0
anyone   pron.无论谁=0
anything   pron.无论什么=0
anyway   adv.不管怎样=0
anywhere   adv.无论何地=0
apart   adv.分离，隔开=0
apartment   n.套房，公寓=0
ape   n.猿猴=0
apologize   v.道歉=0
apology   n.道歉=0
apparatus   n.仪器，设备=0
apparent   adj.明显的，表面上的=0
apparently   adj.显然，似乎=0
appeal   v.,n.呼吁，上诉=0
appealing   adj.有吸引力的=0
appear   v.出现，好象=0
appearance   n.出现，外表=0
appendix   n.附录，盲肠=0
appetite   n.食欲，欲望=0
applaud   v.称赞，拍手喝彩=0
applause   n.喝彩，欢呼=0
apple   n.苹果=0
appliance   n.用具，器械=0
applicable   adj.生动的，适用的=0
applicant   n.申请人=0
application   n.申请，应用=0
apply   v.应用，申请=0
appoint   v.任命，约定=0
appointment   n.任命，约会=0
appreciable   adj.可看到的=0
appreciably   adv.相当大地=0
appreciate   v.欣赏，感激=0
appreciation   n.欣赏，感激=0
appreciative   adj.感激的=0
apprentice   n.学校=0
apprize   v.通知=0
approach   v.接近 n.途径=0
appropriate   adj.恰当的 v.拨给=0
approval   n.同意，批准=0
approve   v.赞成，批准=0
approximate   adj.,v.近似，约略=0
approximately   adv.近乎，大约=0
approximation   n.近似值=0
april   n.四月=0
apt   adj.恰当的，易于..的=0
aptitude   n.才智，天资=0
arab   n.阿拉伯=0
arabian   n.阿拉伯人，阿拉伯语=0
arabic   adj.阿拉伯的=0
arbitrary   adj.专横的，任意的=0
arbitrate   v.仲裁=0
arbitration   n.仲裁=0
arbitrator   n.仲裁员=0
arc   n.弧=0
arch   n.拱门，弓形=0
archaeologist   n.考古学家=0
archaeology   n.考古学=0
